customerid,segment,channel,days_ago,verbatim,pool,contradicts_rfm
CUST0HL9,Hibernating,survey response,20,Need to change the card on file before the next order goes through.,admin,no
CUSUOVW1,Hibernating,support ticket,59,Quality's been inconsistent across the last two batches. Not a dealbreaker yet but worth flagging.,product_gap,no
CUSY0IFZ,Hibernating,support ticket,40,Need to change the card on file before the next order goes through.,admin,no
CUSH75LX,Hibernating,email to rep,37,The price increase landed without much warning. Hard to justify internally at that level.,price,no
CUSHHPBM,Hibernating,survey response,37,"Haven't ordered in a while because our project was on hold. It's back on now, so expect to hear from me.",winback,yes
CUS5USGI,Hibernating,support ticket,45,Budget's been cut for next year so I'll need to review what we're spending with you.,price,no
CUSGOG72,Hibernating,support ticket,75,Can you update the delivery address on my account? Moved offices last month.,admin,no
CUSXA11D,Hibernating,survey response,26,The product's fine but the online ordering experience is painful. Takes me ten minutes to do something that should take two.,product_gap,no
CUSR23GD,Lost,account note,19,Procurement is running a formal tender this quarter. You'll be invited but so will three others.,competitor,no
CUS8G8JD,Lost,support ticket,88,Budget's been cut for next year so I'll need to review what we're spending with you.,price,no
CUS43D8W,Lost,survey response,71,Sorry for going quiet — we had a restructure and everything got paused. Looking to start ordering again next quarter.,winback,yes
CUSITFOY,Lost,survey response,40,"Honestly, the only reason we haven't switched is inertia. That won't hold forever.",competitor,no
CUSF877V,Lost,email to rep,4,Please close my account and remove me from the mailing list. Thanks.,quiet_churn,no
CUSKEYZ7,Lost,survey response,90,"We've wound down the part of the business that used your products, so we won't be ordering again.",quiet_churn,no
CUS5Q14J,Lost,email to rep,74,Budget's been cut for next year so I'll need to review what we're spending with you.,price,no
CUSPTK93,Lost,account note,20,Budget's been cut for next year so I'll need to review what we're spending with you.,price,no
CUS6QICA,Lost,account note,56,Don't need anything further. You can stop the reminder emails.,quiet_churn,no
CUS6SYLZ,Lost,survey response,36,"Honestly, the only reason we haven't switched is inertia. That won't hold forever.",competitor,no
CUSJ2QP8,Lost,email to rep,44,Budget's been cut for next year so I'll need to review what we're spending with you.,price,no
CUSBMYYM,Lost,account note,64,Still here! Just haven't had the need. Send me the new catalogue when it's out.,winback,yes
CUSGVYIE,Lost,account note,9,Budget's been cut for next year so I'll need to review what we're spending with you.,price,no
CUSGXN0G,Lost,email to rep,45,We've been trialling another supplier alongside you for the last two months. Their turnaround has been faster.,competitor,no
CUS63CFL,Lost,email to rep,11,Don't need anything further. You can stop the reminder emails.,quiet_churn,no
CUSCIYHE,Lost,account note,19,A competitor approached us with a bundled deal that's hard to ignore. Wanted to give you the chance to respond.,competitor,no
CUSZE5R5,Lost,account note,8,"We've wound down the part of the business that used your products, so we won't be ordering again.",quiet_churn,no
CUS8Z2FL,Lost,survey response,52,"Been using up old stock, that's all. We'll be back in the market shortly.",winback,yes
CUSOTOHP,Lost,account note,53,Please close my account and remove me from the mailing list. Thanks.,quiet_churn,no
CUS4GH2M,Lost,survey response,32,Cancel the subscription please. I don't want to be charged again.,quiet_churn,no
